name, category, base64
blue, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEVkhZa3PARZAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
bitcoin-orange, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEX3kh03gNzOAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
brown, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEWUVU4LyOhwAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
purple, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEWOb7aMtmqBAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
antenna, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAKUlEQVRYCe3BsQ0AIADDsOT/o8sJLEgssSHJhTpg4oDxmzKSJEmS5KEDUlIFA6L+DvwAAAAASUVORK5CYII=
none, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAGklEQVRYR+3BAQEAAACCIP+vbkhAAQAAAO8GECAAAcFgLJ8AAAAASUVORK5CYII=
rainbow, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAu0lEQVRYw+2OsQ5EQBCG12ucjhegpaFdPa/GG3BoeDMamv1vZ5bG1XvJJfMlX2ZGJPspJQiCIAiCIAiWI0tx5imOLMHvH88T4K2sAU8OYROcNojuk/fUTxzGAGYvgb2w02pDzKisLoh2kHb3EmC2EtVUQ88NT3OHbIWLonnpJUBPDcLWsK8O0BRzBem5RkXyXfsJoEeHaMEQr+yrcyFk2IJvF2f8BAzxgufdsytL923/+LeP1q9vgvB3fABOiLQ6WjY8vQAAAABJRU5ErkJggg==
happy, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAhElEQVRYw+2SwQ0EMQgDnUbwj/SZ7QQK9T2Coi3gctJJjORHXh4gQNM0TfN3LNdYLjwuLBfWFNbUOG/XeKau9VtSjB0LkyVPmCYL21LXBMLEpABUsZ0AENOEmxtglTJYhTxCzJJbflNgr5k18TuMX5ygpmdJnDNE/YXgXYGmaZqmab7NB7N/ZfzOF/mEAAAAAElFTkSuQmCC
neutral, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAfUlEQVR42u2RwQ1AIQhDYRG86Z7+TXRQv1AdgYNJX9IgeGgVIYQQ8hza25Kvrai9RoVwvveShc2ybGxNC5WrUY5sB0sNACNVDbNyevOZYJb8AwbjMJQlKm6MQP47EaDmBbgvjuprgCl0ZpoZwE1ceO01R3/CYQWEEEIIeYUfRt5n1nreT2wAAAAASUVORK5CYII=
surprised, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAgUlEQVRYw+2SsRXDQAhDpUWgy+1pb8INqhQkdtKHIu/pN0AlIQCMMcb8HccSjoe+6xLPJZzrmsf0c6dyh2KHYqdixz1X95w00KItDODqe6aispOZM9CbZ8Vr+9vAOw3OGsgP4RRBgRSAPkXF7A9ckVdXAiLR56hOZzQBY4wxxvyaJx8sZgHvTBE9AAAAAElFTkSuQmCC
unimpressed, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAiElEQVRYw+2TQQ7AIAgE2b/Yq/5df6WPoKDEvoBDk52EIPaw05KKEEII+RujQEcRHQ+izrnH3HeJpgnMBl1NdFbrXjbPembv/mykCtQjAFgI4EHWd6DCygVTBTx87TeOwBByibW/wllRosC3gnlXgCvlPVfAg5vcfd9z3PtdL1D+roQQQshveAGVf3EfbLGmGAAAAABJRU5ErkJggg==
angry, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAgklEQVR4Ae2R0Q3DMBBCYZf019493soZ4qozrqUOcB+ReFIE4YfkwOswxhgzPoz7QqQO6X7+M1TxdMbTEUsbYjbGyZry/BhUMbsKQZXm+2xYnpSOq/ICjbuUQSAABoj0yjvWRKhCp1YZgPP3QOZMXzuBdv5tr82P33prAmOMMca8gy91fnEvrSLIzAAAAABJRU5ErkJggg==
bored-green, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAfUlEQVR42u2SQQ7AIAgEl4/Irf5Tf1IfagVJ2/TOoclOsgHhAAgghBDyO6QdE6465a1ed7yHstBRZjl16pL5/h66YhFfFtZMFl4sikNwNyFw33NoiQ3oqc/Eo3ysmp+7ghITA+JT4yPL+51k8d672/j23ZjZuAFCCCGE/IULurxmACP+GvYAAAAASUVORK5CYII=
bored-red, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAg0lEQVR42u2RwQ3EIAwE171wX+g9dAVFOPZyOl0K8CPSjjRy8IfNAiGEEK9jfsxng185KThps9iDooo94Onq5jtcI+wpdzzPVhmgZ4BzkRliwnMHi8lvtlHcAP+YM8TP9W3maoUBeOlgxW7UHBThCTQrA/y/+X6+f5xTnAaEEEII8RZuMiJxIowOFQEAAAAASUVORK5CYII=
standard-triangular, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAMAAABEpIrGAAAAYFBMVEUAAAD61qX71qX61qR7j6F7jqEBAAH616QBAAD71qQAAAD616X716R6jqF6j6EAAQEBAQEBAQAAAAF7j6D716V7jqBXcIlXcYlXcYhWcYhWcIl6j6BXcIgAAQBWcYl6jqC9JXamAAAAAXRSTlMAQObYZgAAAOdJREFUeAHVwUduwzAQBdA/MyzDJlHN3fH9bxl4I4AOlWWAvIf/qE74TXWWVHHE6bAlFqkOPXEyNpD34hONI35QYzNnDuwzkxfFh/m+kaQ1JJ/IM3OKaD2tXQN2TBWtyRbP2HlRtNxgibDj4NBy25YzduQntKbBhIRdEIdWLTYLdik4tOqw5ByEVpLAzD5UtMZ7KUIiLJ4l05oiPrjZXS+38+VxOl3Pc6zoGG/GFGOKjeibzwu9mRF97mugt+GJPnex9FYUffowxryKXRz69GSmGNUsigPzUoE4KI7oWoFRFIciAMz4Y9+VlQk+lhZ/9QAAAABJRU5ErkJggg==
standard-square, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAMAAABEpIrGAAAAXVBMVEX///8AAAAAAAEBAAEAAQABAQABAAAAAQF7jqF7j6H716X716T71qT61qX71qX61qT616R7jqD616V6jqF6jqABAQF6j6B6j6F7j6BXcYhWcYlXcIhWcIlXcIlXcYkKUjjGAAAAAXRSTlMAQObYZgAAANtJREFUeAFiQAWjAEDnXCBIDMJQAMUlELwu97/lujLDr5dHEso4o4IKziRVjOp+XRlrwHn0IUJIb2Ed0DljgBLeBSIC9oBlm/D3E0F2QNbm/wAH/RCTnTH8AUn1MywL+t/P4vsWYm7ofj8T0A6ouZXyp0XsgVyNixFjTNGDQ8CHIee8REQP4DH5VBIjXTjj27Yf53ZdxyakJk+iT2vr22koeR52r/geqweA78sHWMQIbOYDVDUA6rDWtmpWPgKXlZQquyoyCFsnQugyXCcK3oCOY0DoR53X0Ts7AAAI1wrY2lXjDAAAAABJRU5ErkJggg==
standard-oval, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAMAAABEpIrGAAAAYFBMVEUAAAD61qX616X71qX616R7j6EBAAAAAQH61qR7jqEBAQABAAH716UAAAD71qT716R6j6EAAQAAAAEBAQF6jqF7j6B6j6BXcYh6jqBWcYlXcYlXcIlWcIl7jqBWcIhXcIiYEVFdAAAAAXRSTlMAQObYZgAAAOFJREFUeF7tzrduAzEQRdFJzGFzlGz//19a3mZNQmxd+YLNAw4GhLL/jA5mSt4EEyZv9FCD0X2sTBEtdsJIndRCO9WhjRQ7RBaSztQHnLP23jbiVIBpX4Xw3kg2FEAvuyDdmyiXn/Brj/QbsPgKzMT53pmjLsCk3Brl3izWQ9HQz8KSyQoSxsw2QQVcr5gyC2fuLDEbqDLJb9vj2J7neXyOYYQ3madS8+u5BO8bzwV/UqYBwtFfoB9aYHMXmHUD6C+l1D67JbTAQ/mUtFo0NBqXCSD1Glrp+ALGtgGk6w78cd+ULQl343O5xgAAAABJRU5ErkJggg==
gold-oval, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAwUlEQVR4AeyVAYbFMBRFzzFLmXXPhmYxA7OA+31BQ9D+JGkhhwuBexqvL2w2m80pGiFi0KgBogQ9zjFqdU6QMIbJ79eR/++PMyQhDJSXoJn69VyklrBHQq3LxwToEYAhgeE50HkCPi5Al8DMISR04YTfEEI3MmERGYaoVu/fz7WAEQOGqei7oLqVNkBYRyXQXncR0LAKLwnwrIAsFeB0BsR7BJRAiVAJENZiKdJwcFc5CO0br83OX01oMK8xDEUwCgAzazjvvcfOjgAAAABJRU5ErkJggg==
black-and-white-square, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAw0lEQVR4Ae3WAWqGMBBE4feu6C095RbCr7UQMDjYtJDAoAQhH8m6SlVNzQIswAL8fQBQYIlFC4Wc12Pez5xwec6KAELt+37myQDrMQCNFs8BdAEMpg3lOUCJAWgCMAYIeQ1MOwIkBkAAkNkAyV/DsAinNqIW8WzF27YNBSmNWnE/2BDHjnRzd+YZgG9AbzSAvgdwCMBcgLwK4LYGxN8BKAW0CBcAMWDoE+2l2IDRxXPAZ5GfANt9ChgPUL2d+Zd/xQvwBc5IuxkhxA2/AAAAAElFTkSuQmCC
black-and-white-oval, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAuUlEQVR4AeyVhWGAQADEkhXZkimv3uLyUg+uF3jjlH/++ecfjRAxaNQAUV6O8X2rTs4TJNRhxnF8X0qokhAm4WWgafr1XCQTLJFQp+F1ApQIQL1ATT3QdgJ+uQBFAi0rIaEIGzRDCMVIg47IUMWk6x2G4dICRgwYmqJPAZO/sl6A0I8PgQ1eBDT0wksCfK2AdBXgtA6InyOgBF4WYSJA6IsvQToN+qxwENZjvJb3+YWEFeZhDEMRjAIA56uXxv9bK9MAAAAASUVORK5CYII=
black-and-white-triangular, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAuklEQVR4Ae2V1w2FUBTD7BXZkinzeqV3kLCU7/jcysnJoVGjZJtiTFmWuSHcw9KIEW7F9/zzEmMBop/iLtBH5qA6cX+AMA0r5etKWJ2ennyfC8biHAKQSad+uoAbC8jWWzDpDLg/gf7McAv4CNyywTsAiAEjpiiKXgEDVKefjA+Jz6pUA4Tl+AhUyUNAw1LYS4BtBWRRATrPgLiOgBJ4RPgIQFgWH0UaPqxVDkL1hdPK17s0oYLh5IhcAA4Uo7QxyX2HAAAAAElFTkSuQmCC
gold-square, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAIAAAD8GO2jAAAABnRSTlMA/wD/AP83WBt9AAAAtElEQVR4Ae3WAWbGQBDH0ffTo/TcvVAPU+gBvkY1KqWrQ4KSv4Eh9jFJxnpcnP8M3MANgBJBIIkKgqBmQDxen77q/fkvRQNAjU6fA47AOp/PlAFQpoAaAU2BGAC6eEQyBZgAuRrI+DOtEdC1P9qWROntxaKkpqviGG3GPrFj4YRtyg78GMsG1AlAK8C1QM4B/PYO0plAAWIHjIHF9q721vr0MRDb0L+B2toxsA6Obfe15ax8AI7FhINWzj8OAAAAAElFTkSuQmCC
gold-triangular, body, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgBAMAAACBVGfHAAAAJFBMVEX///8BAQEBAQABAAH/ygP/8yMBAAAAAAAAAQEAAAEAAQDunQCs9IbNAAAAAXRSTlMAQObYZgAAAJdJREFUeAFjoCVgVEDjm4QlIPOZU1xDAw0QfHYV19DQ0IgGuABQHgxgfE6XUAgogApwuUDkQgWgAkwwgQSYHTABA3QBBZgWdBWMWATAAG4Lh4srqjsYLK13A8HOQoRnOLa4uLiA5OGO3xIaGtKA7H2QwAJ0AeQQYgOZYYAioF7mghKGUwTY3VACOVWAIwxFgJ2BYQLZUQgAWs0qMD/kNSoAAAAASUVORK5CYII=
empty, belly, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQAAAABbAUdZAAAAAnRSTlMAAQGU/a4AAAATSURBVHgBY/gPBPQh/iII4rUBANnJf3spiR9aAAAAAElFTkSuQmCC
chess, belly, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQAAAABbAUdZAAAAAnRSTlMAAQGU/a4AAAAYSURBVHgBY/gPBPQh/sYDiX/7wSyitQEAk3l9/DlnTDQAAAAASUVORK5CYII=
square, belly, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQAAAABbAUdZAAAAAnRSTlMAAQGU/a4AAAAYSURBVHgBY/gPBPQh/sgDib/3wSyitQEAgUl9mW0J8cUAAAAASUVORK5CYII=
